ttm_years,forward_true,is_observed,forward_observed
0.1,2.1966711513754835,False,
0.18285714285714286,2.447050976869485,False,
0.2657142857142857,2.5510173413882815,False,
0.34857142857142853,2.495405964706994,False,
0.4314285714285714,2.308971262758789,False,
0.5142857142857142,2.054767435066103,False,
0.5971428571428571,1.8134413115029737,False,
0.6799999999999999,1.661863768520388,False,
0.7628571428571428,1.6527616407063748,True,1.6749695308628492
0.8457142857142856,1.800746957349593,True,1.7239493071552852
0.9285714285714285,2.0784452667335462,False,
1.0114285714285713,2.4237489065466233,False,
1.0942857142857143,2.7562733579288174,True,2.770519818167483
1.177142857142857,2.998656326019936,True,2.9951911075971758
1.26,3.097056037056963,False,
1.342857142857143,3.035417421620537,False,
1.4257142857142857,2.8397261454062934,True,2.953160071956548
1.5085714285714285,2.5711233184425195,True,2.5606487636120763
1.5914285714285714,2.3097052435271985,False,
1.6742857142857144,2.1333007028361615,False,
1.7571428571428571,2.096849058034395,False,
1.8399999999999999,2.2178432446987904,True,2.1653309595857895
1.9228571428571428,2.4716947574028305,False,
2.005714285714286,2.798248741988913,False,
2.0885714285714285,3.1177229238873605,False,
2.1714285714285713,3.351847115032409,False,
2.254285714285714,3.444602070843348,True,3.6358791979792686
2.337142857142857,3.377062626931621,False,
2.42,3.17241220446103,False,
2.5028571428571427,2.8898000159660397,False,
2.585714285714286,2.6086685968217633,True,2.405996635248754
2.6685714285714286,2.407704317308908,True,2.5196466784650915
2.7514285714285713,2.3439882519301305,False,
2.834285714285714,2.437871694983781,False,
2.917142857142857,2.6675837807541063,True,2.7455030442056065
3.0,2.9749999999999996,True,2.8648902243650163
